timestamp,sessionId,deviceName,androidVersion,modelName,modelFormat,captureIndex,distanceCm,sourceImageWidth,sourceImageHeight,roiImageWidth,roiImageHeight,modelInputWidth,modelInputHeight,intervalSincePreviousInferenceMs,cameraLensFacing,cameraFpsRange,cameraMaxFps,cameraMegapixels,cameraResolution,actualLabel,predictedLabel,confidence,isCorrect,roiCropTimeMs,preprocessingTimeMs,inferenceTimeMs,totalTimeMs,savedRoiImagePath
2026-06-22T09:41:18.258Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,1,10,480,640,384,384,224,224,0.0,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.997757,True,2.834538,13.324539,53.941769,476.411769,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0001.jpg
2026-06-22T09:41:18.423Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,2,10,480,640,384,384,224,224,481.250615,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.99734855,True,1.860308,15.731077,110.584231,161.048307,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0002.jpg
2026-06-22T09:41:18.594Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,3,10,480,640,384,384,224,224,164.991616,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.9976192,True,1.552846,15.244308,113.671616,167.043,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0003.jpg
2026-06-22T09:41:18.726Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,4,10,480,640,384,384,224,224,174.631384,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.9983304,True,2.019923,14.943307,54.630923,123.630384,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0004.jpg
2026-06-22T09:41:18.869Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,5,10,480,640,384,384,224,224,128.155231,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.9976363,True,4.299539,13.715154,61.725769,139.352385,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0005.jpg
2026-06-22T09:41:19.018Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,6,10,480,640,384,384,224,224,143.379615,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.9976363,True,4.064,16.581,74.90323,144.712308,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0006.jpg
2026-06-22T09:41:19.169Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,7,10,480,640,384,384,224,224,155.534154,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.9963955,True,1.565923,16.223462,71.165846,140.625308,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0007.jpg
2026-06-22T09:41:19.326Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,8,10,480,640,384,384,224,224,143.766846,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.9927019,True,1.421154,18.666923,91.241231,153.376385,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0008.jpg
2026-06-22T09:41:19.453Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,9,10,480,640,384,384,224,224,157.033154,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.996089,True,1.486923,17.187154,62.429692,123.232923,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0009.jpg
2026-06-22T09:41:19.590Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,10,10,480,640,384,384,224,224,128.297,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.9923649,True,1.659308,15.163154,64.066231,132.530769,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0010.jpg
2026-06-22T09:41:19.725Z,camera_roi_20260622_164114,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,11,10,480,640,384,384,224,224,140.809923,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,fruits_rotten_mango,fruits_rotten_mango,0.9717594,True,2.279846,14.611231,57.033539,126.175385,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260622_164114_roi_0011.jpg
