timestamp,sessionId,deviceName,androidVersion,modelName,modelFormat,captureIndex,distanceCm,sourceImageWidth,sourceImageHeight,roiImageWidth,roiImageHeight,modelInputWidth,modelInputHeight,intervalSincePreviousInferenceMs,cameraLensFacing,cameraFpsRange,cameraMaxFps,cameraMegapixels,cameraResolution,actualLabel,predictedLabel,confidence,isCorrect,roiCropTimeMs,preprocessingTimeMs,inferenceTimeMs,totalTimeMs,savedRoiImagePath
2026-06-30T17:25:51.084Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,1,,480,640,384,384,224,224,0.0,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_fresh_carrot,0.43960133,False,1.669154,12.281462,49.414,106.314307,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0001.jpg
2026-06-30T17:25:51.237Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,2,,480,640,384,384,224,224,108.803385,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_rotten_cucumber,0.5174484,True,4.465153,12.271692,58.782231,150.308923,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0002.jpg
2026-06-30T17:25:51.399Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,3,,480,640,384,384,224,224,158.698539,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_rotten_cucumber,0.5174484,True,2.025692,16.718231,98.792308,154.202769,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0003.jpg
2026-06-30T17:25:51.612Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,4,,480,640,384,384,224,224,158.598846,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_fresh_carrot,0.66431785,False,1.764077,17.529616,147.06023,207.281231,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0004.jpg
2026-06-30T17:25:51.785Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,5,,480,640,384,384,224,224,210.534615,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_fresh_carrot,0.66431785,False,1.491461,12.660231,117.686769,170.422846,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0005.jpg
2026-06-30T17:25:51.950Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,6,,480,640,384,384,224,224,172.717308,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_fresh_carrot,0.56707305,False,1.614615,13.758308,107.071693,162.859923,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0006.jpg
2026-06-30T17:25:52.106Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,7,,480,640,384,384,224,224,165.382077,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_fresh_carrot,0.50435925,False,1.619847,13.191308,101.628693,153.603077,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0007.jpg
2026-06-30T17:25:52.286Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,8,,480,640,384,384,224,224,156.956,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_rotten_cucumber,0.38257077,True,2.274923,29.948923,88.533154,175.988692,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0008.jpg
2026-06-30T17:25:52.398Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,9,,480,640,384,384,224,224,178.866307,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_fresh_carrot,0.5666402,False,1.404308,13.152538,58.455923,109.532077,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0009.jpg
2026-06-30T17:25:52.545Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,10,,480,640,384,384,224,224,112.794,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_fresh_carrot,0.56365657,False,1.836308,12.96477,55.228461,142.926923,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0010.jpg
2026-06-30T17:25:52.703Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,11,,480,640,384,384,224,224,147.83,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_fresh_carrot,0.56365657,False,1.699769,13.665077,99.690462,154.584692,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0011.jpg
2026-06-30T17:25:52.864Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,12,,480,640,384,384,224,224,158.445924,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_fresh_carrot,0.6953186,False,2.120154,19.289616,94.313231,156.862693,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0012.jpg
2026-06-30T17:25:53.010Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,13,,480,640,384,384,224,224,159.663538,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_rotten_cucumber,0.36630273,True,1.692077,14.047692,88.817539,143.285308,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0013.jpg
2026-06-30T17:25:53.183Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,14,,480,640,384,384,224,224,147.075077,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,fruits_fresh_banana,0.33769402,False,2.12923,16.372846,112.514539,168.724231,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0014.jpg
2026-06-30T17:25:53.304Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,15,,480,640,384,384,224,224,171.331846,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,fruits_fresh_banana,0.40519273,False,1.734,13.769153,60.615231,118.317076,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0015.jpg
2026-06-30T17:25:53.449Z,camera_roi_20260701_002547,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,16,,480,640,384,384,224,224,123.711846,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_rotten_cucumber,vegetables_rotten_cucumber,0.5393499,True,2.186461,18.001923,73.414461,139.507692,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002547_roi_0016.jpg
