timestamp,sessionId,deviceName,androidVersion,modelName,modelFormat,captureIndex,distanceCm,sourceImageWidth,sourceImageHeight,roiImageWidth,roiImageHeight,modelInputWidth,modelInputHeight,intervalSincePreviousInferenceMs,cameraLensFacing,cameraFpsRange,cameraMaxFps,cameraMegapixels,cameraResolution,actualLabel,predictedLabel,confidence,isCorrect,roiCropTimeMs,preprocessingTimeMs,inferenceTimeMs,totalTimeMs,savedRoiImagePath
2026-06-30T17:22:42.690Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,1,,480,640,384,384,224,224,0.0,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9522301,True,1.965385,14.478077,67.763308,127.978461,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0001.jpg
2026-06-30T17:22:42.801Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,2,,480,640,384,384,224,224,131.257154,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.944107,True,1.757539,15.757461,52.742384,108.256154,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0002.jpg
2026-06-30T17:22:42.940Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,3,,480,640,384,384,224,224,113.356923,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9541814,True,1.931231,13.754,57.799462,133.843923,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0003.jpg
2026-06-30T17:22:43.121Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,4,,480,640,384,384,224,224,140.797154,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9541814,True,2.170538,20.099,87.503923,173.890692,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0004.jpg
2026-06-30T17:22:43.274Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,5,,480,640,384,384,224,224,182.287384,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.81191844,True,1.793308,14.329385,84.886846,145.128615,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0005.jpg
2026-06-30T17:22:43.437Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,6,,480,640,384,384,224,224,148.190231,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.87684304,True,1.621923,17.942308,95.358076,159.412693,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0006.jpg
2026-06-30T17:22:43.600Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,7,,480,640,384,384,224,224,162.442923,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.8682972,True,2.157307,14.466615,100.136077,160.180077,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0007.jpg
2026-06-30T17:22:43.767Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,8,,480,640,384,384,224,224,163.145846,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.7384328,True,2.498923,14.282769,101.684307,163.758385,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0008.jpg
2026-06-30T17:22:43.979Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,9,,480,640,384,384,224,224,172.682,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.82848895,True,1.924616,42.252231,110.969154,203.096154,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0009.jpg
2026-06-30T17:22:44.130Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,10,,480,640,384,384,224,224,207.367923,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9506147,True,3.240924,16.206616,85.739153,146.342692,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0010.jpg
2026-06-30T17:22:44.296Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,11,,480,640,384,384,224,224,154.557,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.7820331,True,1.876,14.360693,101.814539,158.371077,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0011.jpg
2026-06-30T17:22:44.416Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,12,,480,640,384,384,224,224,161.399231,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.98532873,True,1.753846,14.16023,60.261231,116.618615,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0012.jpg
2026-06-30T17:22:44.571Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,13,,480,640,384,384,224,224,121.145077,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.95378685,True,6.623692,13.723308,69.247615,149.332692,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0013.jpg
2026-06-30T17:22:44.731Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,14,,480,640,384,384,224,224,160.401462,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.95378685,True,2.328616,13.542384,84.030692,149.381846,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0014.jpg
2026-06-30T17:22:44.904Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,15,,480,640,384,384,224,224,153.692,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9512974,True,2.018307,20.098923,103.310384,169.883847,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0015.jpg
2026-06-30T17:22:45.081Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,16,,480,640,384,384,224,224,174.344923,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.95009226,True,2.356615,14.877385,109.937539,171.75277,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0016.jpg
2026-06-30T17:22:45.248Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,17,,480,640,384,384,224,224,175.78923,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9465929,True,2.634692,19.294154,81.235154,163.378154,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0017.jpg
2026-06-30T17:22:45.404Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,18,,480,640,384,384,224,224,169.596308,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.91337085,True,2.080461,13.967308,88.069385,149.440308,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0018.jpg
2026-06-30T17:22:45.571Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,19,,480,640,384,384,224,224,160.814539,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.93962246,True,1.932154,15.139461,101.668461,155.685461,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0019.jpg
2026-06-30T17:22:45.725Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,20,,480,640,384,384,224,224,158.420692,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.93914676,True,1.471308,16.346231,94.884462,151.921077,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0020.jpg
2026-06-30T17:22:45.908Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,21,,480,640,384,384,224,224,155.256,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9746943,True,3.582692,14.628846,117.194693,180.043385,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0021.jpg
2026-06-30T17:22:46.040Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,22,,480,640,384,384,224,224,190.223615,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.97775567,True,2.45,17.059693,56.161154,121.207153,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0022.jpg
2026-06-30T17:22:46.178Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,23,,480,640,384,384,224,224,132.000231,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.98369735,True,2.064923,14.783538,57.07677,126.837615,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0023.jpg
2026-06-30T17:22:46.317Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,24,,480,640,384,384,224,224,136.804539,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9684104,True,1.729077,12.877153,53.375693,129.120692,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0024.jpg
2026-06-30T17:22:46.468Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,25,,480,640,384,384,224,224,131.85323,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9684104,True,1.826692,13.298846,95.289462,149.121693,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0025.jpg
2026-06-30T17:22:46.602Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,26,,480,640,384,384,224,224,151.891308,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9747966,True,2.856154,17.668846,71.180616,131.130231,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0026.jpg
2026-06-30T17:22:46.722Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,27,,480,640,384,384,224,224,138.694615,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.9296239,True,1.761462,16.947846,55.831307,112.221077,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0027.jpg
2026-06-30T17:22:46.865Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,28,,480,640,384,384,224,224,120.390385,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.8777619,True,10.773538,14.104692,59.827846,134.058616,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0028.jpg
2026-06-30T17:22:47.032Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,29,,480,640,384,384,224,224,137.173231,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.8777619,True,1.638923,16.015462,97.058385,164.646846,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0029.jpg
2026-06-30T17:22:47.211Z,camera_roi_20260701_002239,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,30,,480,640,384,384,224,224,167.880923,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_tomato,vegetables_fresh_tomato,0.99551165,True,3.032077,19.270153,93.719846,175.094923,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002239_roi_0030.jpg
