timestamp,sessionId,deviceName,androidVersion,modelName,modelFormat,captureIndex,distanceCm,sourceImageWidth,sourceImageHeight,roiImageWidth,roiImageHeight,modelInputWidth,modelInputHeight,intervalSincePreviousInferenceMs,cameraLensFacing,cameraFpsRange,cameraMaxFps,cameraMegapixels,cameraResolution,actualLabel,predictedLabel,confidence,isCorrect,roiCropTimeMs,preprocessingTimeMs,inferenceTimeMs,totalTimeMs,savedRoiImagePath
2026-06-30T17:20:40.626Z,camera_roi_20260701_002036,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,1,,480,640,384,384,224,224,0.0,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_carrot,vegetables_fresh_carrot,0.99375784,True,2.108923,17.280077,71.154384,494.281154,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002036_roi_0001.jpg
2026-06-30T17:20:40.759Z,camera_roi_20260701_002036,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,2,,480,640,384,384,224,224,502.349384,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_carrot,vegetables_fresh_carrot,0.9929858,True,2.637385,14.832462,57.284,126.009692,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002036_roi_0002.jpg
2026-06-30T17:20:40.933Z,camera_roi_20260701_002036,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,3,,480,640,384,384,224,224,129.936231,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_carrot,vegetables_fresh_carrot,0.9929858,True,1.559154,15.119385,111.641539,169.896385,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002036_roi_0003.jpg
2026-06-30T17:20:41.114Z,camera_roi_20260701_002036,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,4,,480,640,384,384,224,224,186.942462,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_carrot,vegetables_fresh_carrot,0.99710196,True,3.049384,15.918461,98.860693,162.855461,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002036_roi_0004.jpg
2026-06-30T17:20:41.256Z,camera_roi_20260701_002036,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,5,,480,640,384,384,224,224,186.52723,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_carrot,vegetables_fresh_carrot,0.99114615,True,2.183077,16.209153,60.232077,119.796154,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002036_roi_0005.jpg
2026-06-30T17:20:41.402Z,camera_roi_20260701_002036,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,6,,480,640,384,384,224,224,123.703,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_carrot,vegetables_fresh_carrot,0.998248,True,1.720847,17.137462,61.643154,141.501538,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002036_roi_0006.jpg
2026-06-30T17:20:41.584Z,camera_roi_20260701_002036,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,7,,480,640,384,384,224,224,149.818462,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_carrot,vegetables_fresh_carrot,0.998248,True,2.633538,17.683308,116.54,173.910461,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002036_roi_0007.jpg
2026-06-30T17:20:41.719Z,camera_roi_20260701_002036,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,8,,480,640,384,384,224,224,192.761462,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_carrot,vegetables_fresh_carrot,0.97686726,True,1.793154,15.014923,59.965615,116.536924,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002036_roi_0008.jpg
2026-06-30T17:20:41.850Z,camera_roi_20260701_002036,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,9,,480,640,384,384,224,224,122.378846,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_carrot,vegetables_fresh_carrot,0.99867934,True,1.676846,16.485616,53.886462,122.789847,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002036_roi_0009.jpg
2026-06-30T17:20:42.025Z,camera_roi_20260701_002036,Xiaomi M2006C3LG,Android 10 (API 29),mobilenetv2_float16.tflite,TensorFlow Lite Float16,10,,480,640,384,384,224,224,135.111154,Belakang,10-10|15-15|15-20|20-20|5-30|30-30,30,13.12896,4208x3120,vegetables_fresh_carrot,vegetables_fresh_carrot,0.99867934,True,2.393538,15.92077,108.686462,164.522154,/storage/emulated/0/Android/data/com.skripsi.cnnfreshscan/files/research_roi_captures/camera_roi_20260701_002036_roi_0010.jpg
