timestamp,sessionId,deviceName,androidVersion,modelName,modelFormat,captureIndex,distanceCm,sourceImageWidth,sourceImageHeight,roiImageWidth,roiImageHeight,modelInputWidth,modelInputHeight,intervalSincePreviousInferenceMs,cameraLensFacing,cameraFpsRange,cameraMaxFps,cameraMegapixels,cameraResolution,actualLabel,predictedLabel,confidence,isCorrect,roiCropTimeMs,preprocessingTimeMs,inferenceTimeMs,totalTimeMs,savedRoiImagePath
2026-06-22T10:15:58.531309Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,1,10,480,640,384,384,224,224,0.0,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.9370577,True,1.728229,4.515834,30.730989,44.082812,
2026-06-22T10:15:58.594088Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,2,10,480,640,384,384,224,224,46.394114,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.9370577,True,1.307083,11.18474,40.350886,60.76276,
2026-06-22T10:15:58.651300Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,3,10,480,640,384,384,224,224,78.564271,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.9370577,True,1.657865,4.220364,28.256354,39.40849,
2026-06-22T10:15:58.740631Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,4,10,480,640,384,384,224,224,61.750781,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.9188802,True,1.062187,10.283021,45.59,65.699531,
2026-06-22T10:15:58.812004Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,5,10,480,640,384,384,224,224,73.734636,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.9188802,True,1.629844,9.893854,43.197396,64.353698,
2026-06-22T10:15:58.902800Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,6,10,480,640,384,384,224,224,83.23677,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.9261877,True,1.833854,9.359844,48.457657,71.93026,
2026-06-22T10:15:58.970399Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,7,10,480,640,384,384,224,224,74.0075,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.9261877,True,1.160104,4.218073,56.156667,65.756042,
2026-06-22T10:15:59.050581Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,8,10,480,640,384,384,224,224,68.416719,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.932949,True,1.424218,4.736302,65.968541,77.376666,
2026-06-22T10:15:59.108399Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,9,10,480,640,384,384,224,224,82.473177,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.932949,True,1.161614,4.163334,39.216823,52.235365,
2026-06-22T10:15:59.222360Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,10,10,480,640,384,384,224,224,75.490417,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.931483,True,1.764687,25.037292,41.454844,91.245,
2026-06-22T10:15:59.283274Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,11,10,480,640,384,384,224,224,94.543802,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.931483,True,1.748073,4.520469,45.546615,57.696197,
2026-06-22T10:15:59.362727Z,camera_roi_20260622_171555,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,12,10,480,640,384,384,224,224,60.272969,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_fresh_banana,fruits_fresh_banana,0.9598525,True,1.035625,4.781562,66.446771,76.535364,
