timestamp,sessionId,deviceName,androidVersion,modelName,modelFormat,captureIndex,distanceCm,sourceImageWidth,sourceImageHeight,roiImageWidth,roiImageHeight,modelInputWidth,modelInputHeight,intervalSincePreviousInferenceMs,cameraLensFacing,cameraFpsRange,cameraMaxFps,cameraMegapixels,cameraResolution,actualLabel,predictedLabel,confidence,isCorrect,roiCropTimeMs,preprocessingTimeMs,inferenceTimeMs,totalTimeMs,savedRoiImagePath
2026-06-22T10:19:07.021529Z,camera_roi_20260622_171903,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,1,,480,640,384,384,224,224,0.0,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_rotten_mango,fruits_rotten_mango,0.99891734,True,1.895417,10.472084,25.911719,55.229115,
2026-06-22T10:19:07.064616Z,camera_roi_20260622_171903,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,2,,480,640,384,384,224,224,56.872708,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_rotten_mango,fruits_rotten_mango,0.99891734,True,1.012864,3.830156,32.855885,41.384219,
2026-06-22T10:19:07.120999Z,camera_roi_20260622_171903,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,3,,480,640,384,384,224,224,44.334844,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_rotten_mango,fruits_rotten_mango,0.99891734,True,2.035313,4.699636,41.206146,53.6025,
2026-06-22T10:19:07.193966Z,camera_roi_20260622_171903,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,4,,480,640,384,384,224,224,55.382291,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_rotten_mango,fruits_rotten_mango,0.9981768,True,2.115468,6.586146,51.650052,71.192031,
2026-06-22T10:19:07.250661Z,camera_roi_20260622_171903,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,5,,480,640,384,384,224,224,77.596355,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_rotten_mango,fruits_rotten_mango,0.9981768,True,1.589219,13.708906,29.753385,50.307396,
2026-06-22T10:19:07.307488Z,camera_roi_20260622_171903,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,6,,480,640,384,384,224,224,52.399322,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_rotten_mango,fruits_rotten_mango,0.9981768,True,0.959948,4.339166,44.924271,53.949271,
2026-06-22T10:19:07.378120Z,camera_roi_20260622_171903,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,7,,480,640,384,384,224,224,56.96823,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_rotten_mango,fruits_rotten_mango,0.99702626,True,1.220781,4.264896,52.548489,64.543697,
2026-06-22T10:19:07.419482Z,camera_roi_20260622_171903,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,8,,480,640,384,384,224,224,70.67427,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_rotten_mango,fruits_rotten_mango,0.99702626,True,1.613073,4.10151,28.148073,39.096719,
2026-06-22T10:19:07.489231Z,camera_roi_20260622_171903,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,9,,480,640,384,384,224,224,46.083542,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_rotten_mango,fruits_rotten_mango,0.99702626,True,1.53849,4.372813,50.511666,62.772605,
2026-06-22T10:19:07.567316Z,camera_roi_20260622_171903,Xiaomi M2101K6G,Android 12 (API 31),mobilenetv2_float16.tflite,TensorFlow Lite Float16,10,,480,640,384,384,224,224,64.453125,Belakang,15-15|8-30|30-30,30,12.0,4000x3000,fruits_rotten_mango,fruits_rotten_mango,0.98340154,True,1.201562,19.27849,36.487084,76.128386,
