No,Kelas Aktual,Jumlah Capture,Benar,Salah,Akurasi (%),Rata-rata Inference (ms),Median Inference (ms),P95 Inference (ms)
1,Jeruk Busuk,100,100,0,100.0,32.39595412,28.809896,54.254115
2,Jeruk Segar,100,100,0,100.0,55.233141079999996,51.588906,101.373698
3,Mangga Busuk,100,100,0,100.0,41.592106219999984,39.771094,62.160938
4,Mangga Segar,100,92,8,92.0,32.81156926,29.007396,55.17349
5,Mentimun Busuk,100,63,37,63.0,34.988345650000014,32.189535,57.157401
6,Mentimun Segar,100,82,18,82.0,33.68944711999999,30.708649,50.535526
7,Pisang Busuk,100,100,0,100.0,31.039619749999996,26.494271,61.880729
8,Pisang Segar,100,100,0,100.0,57.99444067999999,50.542396,115.514635
9,Tomat Busuk,100,97,3,97.0,32.59659078,29.490732,48.454953
10,Tomat Segar,100,100,0,100.0,32.34393289,31.137555,43.89563
11,Wortel Busuk,100,100,0,100.0,33.041627749999996,30.267972,52.674328
12,Wortel Segar,100,100,0,100.0,33.02348458,31.357086,43.501984
